,Remittance-receiving country (across)                                                              -                                                 Remittance-sending country (down) ,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,HongKong,Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.",Korea,Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,World
0,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.3083996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.93025186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.2386515
1,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.52698148,0,0,0,0,0,0,0,0,0,0.069946776,0,0,0,0,0,0,0,0,0,0,0,0,30.83670747,0,0,0,0,0,0,0,0,0,1.708591243,0,0,0,0,0,0,0,0,0.712987558,0,0,0,0,0.913230394,0,25.45673081,0,0,0,0,0,0,0,0,0,0,5.339309388,0,0,0,0,0,0,0,0,3.364732669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.937912538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.656934448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279527643,0,0,0,0,0,0,74.78531499,0,0,0,0,0,1.664076773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522490268,0,0,0,0,0,0,0,2.201584818,0,0,0,0,0,0,0,0,0,0,184.9770593
2,Algeria,0,0,0,0,0,0,0,0,0,0,0.698573666,0.903527203,0,0,0,0.406184857,0,0.092136184,2.77752524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.624595155,0,0,0,0,0,3.708815012,0,1.776376767,0,0,0,0.051678916,0,0,0,0,0,0.807232326,1.188122873,0,0,0,0,0.371585088,0,0,0,0.274244886,0,0,0.464489995,13.71886404,0,0,0,0,6.252423883,0.361745926,0.183414015,0,0,0,0,0,0,0,0,0,0,0,0,4.125339784,5.362287422,0,6.033021248,0,0,0,4.816948695,0,0.82998713,20.3096432,0.012563431,0,0,0,0.378057774,0,0.029616641,0,0,0,19.79100997,0,0,0,0,0,0,0,0,0,0,1.506629702,0,0,0,0,0,0,0,0,0,0,0,0,2.10738137,0,0,0,0,0.555873185,0,0,0,0,10.32164752,0,0,0.604345598,1.542108709,0,0,0,0,0,4.080709084,0.246093588,0,0,5.995776488,0.126028213,0.965150167,0,0,0,0,8.279996816,0.864013231,0,0,0,0,0,0,0,0,0,0.119412113,0,1.320013531,0,0,0,0,0,0.273121594,0,0,1.344555999,0.79800419,2.234561373,0.425092932,0,3.469208885,0,0,0,0,1.729613919,0.199380589,0,0,0,0,0.195980469,0,1.405931275,4.539605877,0,0,0,0,0,0,30.1637216,7.459294441,0,0,189.2232638
3,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.610225395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156364236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996265455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555547103,0,0,0,0,0,0,0,0,0,0,0,0,6.577221336,0,0,0,0,0,0,0,8.773737594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.027775959,0,0,0,0,0,0,0,0,0,0,7.429573553,0,0,0,0,1.057710344,0,0,0,0,0,32.18442098
4,Andorra,0,0,0,0,0,0,0,0.403279117,0,0,0.256498819,0,0,0,0,0,0,0,3.722280426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035102148,0,0,0,0,0,0,0,0,0,0,0,0,0.495668972,0,0,0,0,0,0,0,0,0,0,0,0,0,51.67748594,0,0,0,0,1.357829402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454708119,0,0,0,0,0,0,1.514557982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15575793,0,0,0,0,0.3140047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.931237818,0,25.68729712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.2195374,0,0,0,0,0,0,0,0,0.370356742,0.287741896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86446202,0.177780558,0.0379811,0,0,0,0,0,0,0,0,0,279.9635682
5,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.024437832,0,0,0,0,0,0,0,0,0,0,0,0.113298651,0,0,0.01260393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047944879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024839254,0,0.012924169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.26096818,0,0,0,0,0.562439491,0,0,2.865629863,0,0,0,0,0,0,0,0,0,0,0,4.710620876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040366394,0,42.67607352
6,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0.002411083,0.029281531,0,0,0,0,0,0.286731459,0,0,0.015733591,0,1.373359159,0,0,0,0,0,0,0,0,0,0,0,0,0.415739993,0,0,0,0,0,0.778036324,0,0,0,0,0,0,0,0,0.026364321,0,0,0,0,1.366975419,6.266310721,0,0.042446709,0,0,0,0,1.045187474,0,0,0,0.528594224,0,0,0,0,0.336453303,0.089602136,0,0,0.086346154,0,0,0,0,3.441560762,0.045483277,0.031991914,0,0,0,0.332606656,0,0,0,0,0,0,0.239874969,7.27826546,0.074438308,0,0,0,0,0,0,0,0,0,0,0,0.47313425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009628811,0,0,0,0,0,0,0,0,0,0,0.022630969,0,0.006484986,0,0,0.735781826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075061366,0,0,0,0,0.039724972,0,0.098386102,0,0.856554166,0.341251826,0,0.429669753,0,0.000264037,0,0,0,0.096445527,0,0,0,0,0,0,0.256061555,0,0,0,0,0,0,0,0,0.848286056,5.29000521,0,0,0,0.016015476,0,0,0,0,0,0,33.72918183
7,Argentina,0.000734011,0.059457342,0.214206642,0,0,0.001788102,0,0,1.581839449,0,4.931846419,9.040682375,0.00049469,0,0,0.08147597,0.022142067,0.039447775,22.7386733,0.012875361,0.001279121,0,0.000423789,629.4477149,0.00605119,0.002548531,72.35683809,0,0.375018225,0.048066289,0.000533145,0.077542148,0.016712786,0.031992022,2.031412003,0,0,0,0,32.93702204,89.26565575,92.90293825,0,2.19E-05,0,2.419352307,0.013833335,3.237118575,0,0,0.684125043,3.903060829,2.048765086,0,0.003785035,36.98469512,21.70255208,1.145907022,1.17555539,0,0,0.500654152,0.02241686,0,0.00069109,0.444294777,120.3105039,0,0,0.004716409,0.122341379,41.41579946,0.27828558,0.489104041,0,0.001359359,0,2.943727024,0.005436707,0.005888393,0.004820133,0.407376272,1.259167682,0.017256215,7.146927645,0.165103656,6.981443882,0.181788198,0.15052439,0.021826408,0.237329371,0,4.385249395,494.8361279,0.047816646,15.02165048,0.125739914,0.010445999,0.084263483,0,0,5.468760252,0,0.000172836,0.025620943,0.050117871,0.428332889,7.778097723,0,0.093980357,0,0,0.779313267,0.638346978,0,0.013551574,0.008884425,0.000565148,0.070195247,0.00286162,0.018562465,0.019365766,0,0,0.001380343,21.86666712,0,0.030819904,0,0.032859807,1.659776803,0.4670856,0.002648016,0.000205487,0.000101808,0.004657962,1.966065462,36.10985029,0,0.495090394,0.2198988,0,0,0.766503855,0.036967949,0.190342684,0,2.261839523,0.00013474,533.2843776,436.8402862,15.47964872,10.47608996,14.02224515,0,0.1713079,0.881242732,1.635176727,0.010381937,0.000298246,0,0,0.087235305,1.734810511,0.03146093,0,0.004209188,0,0,0.701843057,2.231187514,0,0,0.345818987,0,814.0957987,0.060194496,0,0,0,0,0.000453001,5.10E-05,0,4.516742008,7.653934422,0.507391938,0,0.017811344,0.888573821,0,0.004760454,0.003511442,0.007670888,0.159463525,0.313918375,0,0,0,0.036906312,5.583631832,0,2.65165992,56.00707743,41.02946226,0,0,4.313163846,0.285822265,0,0.100531338,0.001710165,0.000176552,0,3766.863924
8,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,106.4920157,0,0,0,0,0.323294422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.59375041,2.447297241,0,0.520933621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.287590204,0,0,0,0,0,0,0,0,0.05131244,0,0,0,0,0,0,0,0,0,8.322067185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.733680394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.706431651,0,0,0,0,0,0,0,0,0.639502635,0,0,0,0,2.253810418,0,0,0,0,0,0,0,0,0,0,0,0,0,209.3716863
9,Aruba,0,0.003281294,0.003229555,0,0,0,0.001842772,0.038433733,0,0,0.058563062,0.070334453,0,0,0,0.001777484,0.01115561,0,0.740673397,0,0,0.114446597,0,0.012795882,0,0,0.201241416,0,0.001172342,0,0,0.003697064,0,0,0.061080283,0,0,0,0,0.004715454,6.358400922,17.93832633,0,0,0,0.224489911,0,0.002420308,0,0,0,0,0.004720657,0,0.031688006,15.4341715,0.363100326,0.017816622,0.007982154,0,0,0,0.003612353,0,0.000371128,0.002524402,0.639230224,0,0,0.002862592,0,0.268361563,0.009502392,0.002887129,0,0.117454273,0,0.062877242,0,0,0.159378523,2.464379295,0.049916787,0.02385418,0.015544446,0.006604146,1.381221702,0.118159911,0.003811705,0,0.002274722,0,0.005111013,0.165319235,1.405382131,0.018609577,0,0,0.010779535,0,0,0.009510887,0,1.23E-05,0,9.69E-05,0.003645734,0.34368111,0.001347647,0,0,0,0,0,0.000834122,0.000894244,0,0.002118227,0,0,0.002766385,0,0,0,0.076566463,0,0,0,0,0,0,0.010952366,0,0,0,0.005457491,6.291409478,0,0,0.011781708,0.001737746,0.075502204,0,0.002903424,0,0.013134568,0,0.053267674,0,0.002176462,2.084536972,4.42837806,0.023238064,0.323845253,0,0,0.001978111,0.005603858,0.073844471,0,0,0,0.004204111,0,0.002376325,0,0,0,1.102664954,0.020948704,0.002069747,0,0,0.021658219,0,0.336152514,0.003760627,0.060373621,0.009759297,0,0.053963541,0.000101845,0.007611196,0,0.016102467,0.049875262,0.001243071,0,0.002072677,0.005924432,0,0,0.001289683,0.044564208,0.002783794,0.005101769,0,0,0,0,0.010171382,0,0.053400877,1.215522885,0,0,0,1.343880674,0.008154921,0,0,0,0,0,66.8885421
