,year,id,wrkstat,wrkslf,wrkgvt,marital,sibs,childs,age,educ,degree,sex,race,polviews,partyid,mobile16,born,income06,rincom06,region,size,vote08_coded,pres08,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,natroad,natsoc,natmass,natpark,natchld,natsci,natenrgy,eqwlth,spkath,colath,libath,spkrac,colrac,librac,spkcom,colcom,libcom,spkmil,colmil,libmil,spkhomo,colhomo,libhomo,spkmslm,colmslm,libmslm,cappun,gunlaw,courts,grass,relig,fund,attend,reliten,postlife,pray,bible,affrmact,wrkwayup,closeblk,closewht,happy,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,obey,popular,thnkself,workhard,helpoth,union,getahead,abdefect,abnomore,abhlth,abpoor,abrape,absingle,abany,divlaw,premarsx,teensex,xmarsex,homosex,pornlaw,spanking,owngun,news,tvhours,fechld,fepresch,fefam,racdif1,racdif2,racdif3,racdif4,helppoor,helpnot,helpsick,helpblk,intintl,intfarm,inteduc,intsci,intecon,inttech,intmed,intspace,intenvir,intmil,hispanic,uscitzn,ethnic,fucitzn,vetyears,wordsum,hhtype1,dateintv,cohort,zodiac,inthisp,intrace1,intrace2,intrace3,feeused,feelevel,lngthinv,intage,intethn,mode,intsex,intyrs,wtss,social_trust,con_govt,social_connect,abortion,abortion_3,authoritarianism,femrole,reborn_r,savesoul_r,god_r,science_quiz,educ_4,educ_2,kids,age_5,evangelical,intethn_2,closeblk2,closewht2,obey2,fund2,attend3,homosex2,reliten2,affrmact2,racial_liberal3,social_cons3,spend3,mslm_lib,mslm_spk,mslm_col,rincom06_5,egalit_scale,race_2,white_traits,black_traits,int_info_scale,femrole2,tolerance,militarist_tol,egalit_scale3,black,voted08,partyid_3,hispanic_2,wtssall,attend7,egalit_scale4,tolerance4,spanking2,age_3,tvhours5,attend2,pornlaw2,south,divlaw2,age.f,mslm_spk.high,mslm_spk.yes,grass.legal,age2,relig2,dem,science_quiz.f
0,2012,1.0,WORKING PART TIME,SOMEONE ELSE,PRIVATE,Never married,1.0,0.0,22.0,4 years,Bachelor deg,Male,White,Moderate,IndDem,"SAME ST, DIF CITY",YES,$150000 OR OVER,,NEW ENGLAND,14,Did not vote,,,,,,,,,,,,,Too much,Too little,Too little,About right,About right,About right,Too little,,,ALLOWED,,NOT ALLOWED,NOT ALLOWED,,NOT ALLOWED,NOT FIRED,NOT REMOVE,ALLOWED,NOT ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,Not allowed,,Remove,,OPPOSE,,,CATHOLIC,MODERATE,Once/yr,NOT VERY STRONG,YES,ONCE A WEEK,INSPIRED WORD,,AGREE SOMEWHAT,5.0,7.0,VERY HAPPY,,,,,,,,,,,,,,,,,,,,BOTH EQUALLY,YES,,YES,,YES,,YES,MORE DIFFICULT,NOT WRONG AT ALL,ALMST ALWAYS WRG,ALWAYS WRONG,NOT WRONG AT ALL,,AGREE,NO,ONCE A WEEK,1.0,STRONGLY AGREE,AGREE,DISAGREE,YES,NO,NO,NO,,,,,,,,,,,,,,,NOT HISPANIC,,GERMANY,,NONE,7.0,"MARRIED COUPLE, NO CHILDREN",721,1990.0,LIBRA,NOT HISPANIC,White,,,"YES, MONEY",75.0,69,60,WHITE,IN-PERSON,FEMALE,2,2.6219628630005,,,8.0,,,,6.0,No,No,No,,Coll+,13+ yrs,No,18-30,Low,White,Less close,More close,,No,Low,No,Not strong,,Mod,Liberal,Conserv,No,No,,,,White,0.0,0.0,,NonTrad,,Middle,,No,Did not vote,Ind,No,2.6219628630005,Once/yr,,,Approve,18-40,0-1,Low,,Nonsouth,More difficult,22.0,0.0,0.0,,<=30,Catholic,0.0,
1,2012,2.0,WORKING PART TIME,SOMEONE ELSE,PRIVATE,Never married,2.0,0.0,21.0,12th grade,HS,Male,White,SlghtCons,IndRep,SAME CITY,YES,$150000 OR OVER,,NEW ENGLAND,14,,,,,,,,,,,,,,About right,Too much,About right,About right,About right,Too little,Too little,3.0,ALLOWED,NOT ALLOWED,NOT REMOVE,ALLOWED,NOT ALLOWED,NOT REMOVE,ALLOWED,FIRED,NOT REMOVE,ALLOWED,NOT ALLOWED,NOT REMOVE,NOT ALLOWED,NOT ALLOWED,NOT REMOVE,Not allowed,Not allowed,Remove,FAVOR,FAVOR,NOT HARSH ENOUGH,LEGAL,CATHOLIC,MODERATE,Never,NOT VERY STRONG,YES,NEVER,WORD OF GOD,,,6.0,7.0,VERY HAPPY,HARDLY ANY,A GREAT DEAL,A GREAT DEAL,ONLY SOME,ONLY SOME,ONLY SOME,HARDLY ANY,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,2ND IMPORTANT,LEAST IMPORTANT,3RD IMPORTANT,MOST IMPORTANT,4TH IMPORTANT,NEITHER BELONGS,HARD WORK,YES,YES,YES,YES,YES,YES,YES,,,,ALWAYS WRONG,ALWAYS WRONG,ILLEGAL UNDER 18,,NO,,,,,,,,,,Agree both,2.0,4,5.0,Not at all interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Very interested,Moderately interested,Moderately interested,Very interested,Very interested,NOT HISPANIC,,ITALY,,NONE,,MARRIED COUPLE W CHILDREN,624,1991.0,ARIES,NOT HISPANIC,White,,,"YES, MONEY",75.0,53,32,WHITE,IN-PERSON,FEMALE,0,3.4959504840006,0.0,4.0,,7.0,6-7,4.0,,No,No,No,7.0,HS,0-12 yrs,No,18-30,Low,White,More close,More close,More important,No,Low,Yes,Not strong,,Conserv,Mod,Conserv,No,No,No,,22.0,White,,,12.0,,10.0,Middle,Middle,No,,Ind,No,3.4959504840006,Never/<1yr,MedHigh,MedLow,,18-40,,Low,Not illegal to all,Nonsouth,,21.0,0.0,0.0,100.0,<=30,Catholic,0.0,7.0
2,2012,3.0,WORKING FULL TIME,SOMEONE ELSE,PRIVATE,Married,1.0,2.0,42.0,12th grade,HS,Male,Other,SlghtCons,IndDem,DIFFERENT STATE,YES,$110000 TO $129999,$110000 TO $129999,NEW ENGLAND,14,Voted,Obama,About right,About right,Too much,About right,About right,,Too little,About right,Too much,Too much,About right,Too little,About right,,Too little,Too little,Too little,About right,5.0,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,NOT ALLOWED,NOT REMOVE,ALLOWED,NOT FIRED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,"Yes, allowed","Yes, allowed",Not remove,,OPPOSE,,LEGAL,PROTESTANT,MODERATE,Never,STRONG,YES,SEVERAL TIMES A DAY,INSPIRED WORD,,,5.0,4.0,PRETTY HAPPY,ONLY SOME,ONLY SOME,ONLY SOME,ONLY SOME,ONLY SOME,ONLY SOME,ONLY SOME,A GREAT DEAL,ONLY SOME,ONLY SOME,A GREAT DEAL,HARDLY ANY,A GREAT DEAL,4TH IMPORTANT,MOST IMPORTANT,LEAST IMPORTANT,2ND IMPORTANT,3RD IMPORTANT,NEITHER BELONGS,LUCK OR HELP,YES,NO,YES,NO,YES,NO,YES,,,,ALMST ALWAYS WRG,NOT WRONG AT ALL,ILLEGAL UNDER 18,,NO,,,,,,,,,,Agree both,3.0,4,4.0,Moderately interested,Not at all interested,Moderately interested,Moderately interested,Very interested,Moderately interested,Moderately interested,Not at all interested,Moderately interested,Moderately interested,DOMINICAN,,WEST INDIES,,NONE,,MARRIED COUPLE W CHILDREN,627,1970.0,ARIES,NOT HISPANIC,White,,,"YES, MONEY",75.0,77,32,WHITE,IN-PERSON,FEMALE,0,1.7479752420003,2.0,2.0,,4.0,3-5,4.0,,No,Yes,No,10.0,HS,0-12 yrs,Yes,41-50,Mod,White,Less close,Less close,Less important,No,Low,No,Strong,,Conserv,Liberal,Mod,Yes,Yes,Yes,High,14.0,,,,9.0,,13.0,High,Less egal,,Voted,Ind,Yes,1.7479752420003,Never/<1yr,MedLow,MedHigh,,41-60,,Low,Not illegal to all,Nonsouth,,42.0,1.0,100.0,100.0,>=31,Protestant,0.0,10.0
3,2012,4.0,,SOMEONE ELSE,PRIVATE,Married,2.0,2.0,49.0,1 yr coll,HS,Female,White,SlghtCons,WkRep,"SAME ST, DIF CITY",YES,$130000 TO $149999,,NEW ENGLAND,14,Voted,McCain,,,,,,,,,,,,Too little,,About right,Too much,,Too much,Too little,7.0,,,,,,,,,,,,,,,,,,,FAVOR,,,LEGAL,PROTESTANT,LIBERAL,Never,NOT VERY STRONG,YES,NEVER,INSPIRED WORD,OPPOSE PREF,AGREE STRONGLY,,,VERY HAPPY,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,ONLY SOME,HARDLY ANY,HARDLY ANY,ONLY SOME,A GREAT DEAL,ONLY SOME,ONLY SOME,,HARDLY ANY,A GREAT DEAL,2ND IMPORTANT,LEAST IMPORTANT,3RD IMPORTANT,MOST IMPORTANT,4TH IMPORTANT,NEITHER BELONGS,,,,,,,,,STAY SAME,NOT WRONG AT ALL,NOT WRONG AT ALL,,,ILLEGAL UNDER 18,AGREE,,FEW TIMES A WEEK,4.0,AGREE,DISAGREE,AGREE,,NO,YES,YES,Help selves,5.0,Help selves,5.0,Moderately interested,Not at all interested,Not at all interested,Not at all interested,Very interested,Moderately interested,Very interested,Not at all interested,Moderately interested,Not at all interested,NOT HISPANIC,,,,NONE,9.0,"MARRIED COUPLE, NO CHILDREN",527,1963.0,CAPRICORN,NOT HISPANIC,White,,,"YES, MONEY",20.0,78,60,WHITE,IN-PERSON,FEMALE,2,1.235694389852,3.0,1.0,1.0,,,4.0,5.0,No,No,No,,Some Coll,13+ yrs,Yes,41-50,Low,White,,,More important,No,Low,,Not strong,Oppose,Conserv,Liberal,Conserv,,,,,1.0,White,0.0,0.0,7.0,Traditional,,,Less egal,No,Voted,Rep,No,1.235694389852,Never/<1yr,Low,,Approve,41-60,4,Low,Not illegal to all,Nonsouth,Same/easier,49.0,,,100.0,>=31,Protestant,0.0,
4,2012,5.0,RETIRED,SOMEONE ELSE,GOVERNMENT,Separated,0.0,3.0,70.0,4 years,Bachelor deg,Female,Black,Liberal,StrDem,SAME CITY,YES,$50000 TO 59999,,MIDDLE ATLANTIC,24,Voted,Obama,,,,,,,,,,,,Too little,Too little,About right,About right,About right,Too little,Too little,7.0,,,,,,,,,,,,,,,,,,,OPPOSE,,NOT HARSH ENOUGH,NOT LEGAL,PROTESTANT,FUNDAMENTALIST,<Once/yr,SOMEWHAT STRONG,,SEVERAL TIMES A DAY,WORD OF GOD,OPPOSE PREF,AGREE STRONGLY,,,VERY HAPPY,HARDLY ANY,HARDLY ANY,ONLY SOME,A GREAT DEAL,A GREAT DEAL,HARDLY ANY,HARDLY ANY,ONLY SOME,HARDLY ANY,A GREAT DEAL,A GREAT DEAL,HARDLY ANY,A GREAT DEAL,4TH IMPORTANT,LEAST IMPORTANT,MOST IMPORTANT,2ND IMPORTANT,3RD IMPORTANT,NEITHER BELONGS,,,,,,,,,EASIER,NOT WRONG AT ALL,ALWAYS WRONG,,,ILLEGAL UNDER 18,STRONGLY AGREE,,FEW TIMES A WEEK,3.0,AGREE,DISAGREE,DISAGREE,NO,NO,NO,NO,Govt,3.0,2,4.0,Moderately interested,Not at all interested,Very interested,Very interested,Very interested,Moderately interested,Very interested,Moderately interested,Very interested,Very interested,NOT HISPANIC,,AFRICA,,NONE,6.0,SINGLE ADULT,620,1942.0,TAURUS,NOT HISPANIC,White,,,"YES, MONEY",75.0,149,62,WHITE,IN-PERSON,FEMALE,2,0.8739876210001999,0.0,4.0,5.0,,,1.0,6.0,No,Yes,Yes,4.0,Coll+,13+ yrs,Yes,60-,Mod,White,,,Less important,Yes,Low,,Not strong,Oppose,Conserv,Liberal,Conserv,,,,,20.0,Black,1.0,0.0,15.0,NonTrad,,,Middle,Yes,Voted,Dem,No,0.8739876210001999,Never/<1yr,MedLow,,Approve,61+,3,Low,Not illegal to all,Nonsouth,Same/easier,70.0,,,0.0,>=31,Protestant,1.0,4.0
5,2012,6.0,,SOMEONE ELSE,PRIVATE,Widowed,4.0,2.0,50.0,7 years,Bachelor deg,Female,White,Moderate,StrDem,"SAME ST, DIF CITY",YES,$25000 TO 29999,,MIDDLE ATLANTIC,24,Voted,Obama,About right,Too little,Too little,Too little,About right,Too little,About right,Too much,Too much,Too much,Too much,Too little,Too much,About right,Too little,Too little,Too little,Too little,,ALLOWED,NOT ALLOWED,NOT REMOVE,ALLOWED,NOT ALLOWED,NOT REMOVE,ALLOWED,,NOT REMOVE,ALLOWED,NOT ALLOWED,REMOVE,ALLOWED,ALLOWED,NOT REMOVE,Not allowed,Not allowed,Remove,OPPOSE,FAVOR,NOT HARSH ENOUGH,,PROTESTANT,,Never,NOT VERY STRONG,YES,SEVERAL TIMES A DAY,INSPIRED WORD,OPPOSE PREF,AGREE SOMEWHAT,5.0,5.0,VERY HAPPY,,,,,,,,,,,,,,,,,,,,BOTH EQUALLY,YES,YES,YES,YES,YES,YES,YES,EASIER,NOT WRONG AT ALL,ALWAYS WRONG,SOMETIMES WRONG,NOT WRONG AT ALL,,,NO,EVERYDAY,4.0,AGREE,,STRONGLY DISAGREE,NO,NO,NO,YES,,,,,,,,,,,,,,,NOT HISPANIC,,,,NONE,8.0,"COHAB COUPLE, NO CHILDREN",502,1962.0,TAURUS,NOT HISPANIC,White,,,"YES, MONEY",20.0,98,62,WHITE,IN-PERSON,FEMALE,2,0.8237962599014,,,6.0,7.0,6-7,,,No,Yes,No,,Coll+,13+ yrs,Yes,41-50,Mod,White,Less close,Less close,,,Low,No,Not strong,Oppose,Conserv,Liberal,Liberal,No,No,No,,,White,4.0,-1.0,,,,Low,,No,Voted,Dem,No,0.8237962599014,Never/<1yr,,,,41-60,4,Low,,Nonsouth,Same/easier,50.0,0.0,0.0,,>=31,Protestant,1.0,
6,2012,7.0,KEEPING HOUSE,SOMEONE ELSE,PRIVATE,Married,2.0,2.0,35.0,3 years,Junior Coll,Female,White,Moderate,Ind,SAME CITY,YES,$30000 TO 34999,,MIDDLE ATLANTIC,24,Did not vote,,Too little,Too little,Too little,Too little,Too little,About right,Too little,About right,Too little,About right,Too much,Too little,Too little,About right,About right,Too little,About right,About right,2.0,,,,,,,,,,,,,,,,,,,FAVOR,,NOT HARSH ENOUGH,LEGAL,CHRISTIAN,MODERATE,Sev times/yr,SOMEWHAT STRONG,YES,ONCE A WEEK,WORD OF GOD,OPPOSE PREF,AGREE SOMEWHAT,,,PRETTY HAPPY,ONLY SOME,HARDLY ANY,ONLY SOME,HARDLY ANY,HARDLY ANY,ONLY SOME,ONLY SOME,ONLY SOME,ONLY SOME,ONLY SOME,ONLY SOME,ONLY SOME,A GREAT DEAL,3RD IMPORTANT,LEAST IMPORTANT,MOST IMPORTANT,2ND IMPORTANT,4TH IMPORTANT,NEITHER BELONGS,,,,,,,,,MORE DIFFICULT,NOT WRONG AT ALL,ALWAYS WRONG,,,ILLEGAL UNDER 18,AGREE,,NEVER,3.0,AGREE,DISAGREE,DISAGREE,NO,NO,NO,YES,Govt,3.0,Govt,5.0,,,,,,,,,,,NOT HISPANIC,,GERMANY,,NONE,6.0,MARRIED COUPLE W CHILDREN,421,1977.0,SCORPIO,NOT HISPANIC,White,,,"YES, MONEY",20.0,80,62,WHITE,IN-PERSON,FEMALE,2,0.8237962599014,0.0,2.0,10.0,,,2.0,6.0,Yes,Yes,Yes,,Some Coll,13+ yrs,Yes,31-40,High,White,,,Less important,No,Moderate,,Not strong,Oppose,Conserv,Liberal,Liberal,,,,,34.0,White,,,,NonTrad,,,More egal,No,Did not vote,Ind,No,0.8237962599014,Svrl times/yr,High,,Approve,18-40,3,Low,Not illegal to all,Nonsouth,More difficult,35.0,,,100.0,>=31,,0.0,
7,2012,8.0,KEEPING HOUSE,,,Separated,2.0,3.0,24.0,11th grade,<HS,Female,Other,Moderate,Ind,SAME CITY,NO,$5 000 TO 5 999,,MIDDLE ATLANTIC,24,,,,,,,,,,,,,,About right,Too much,About right,About right,Too little,About right,Too little,1.0,,NOT ALLOWED,NOT REMOVE,,NOT ALLOWED,REMOVE,NOT ALLOWED,FIRED,REMOVE,NOT ALLOWED,,,ALLOWED,ALLOWED,NOT REMOVE,Not allowed,Not allowed,Remove,OPPOSE,FAVOR,TOO HARSH,NOT LEGAL,CATHOLIC,MODERATE,Sev times/yr,NOT VERY STRONG,NO,LT ONCE A WEEK,INSPIRED WORD,,,5.0,5.0,PRETTY HAPPY,ONLY SOME,ONLY SOME,ONLY SOME,A GREAT DEAL,HARDLY ANY,ONLY SOME,ONLY SOME,A GREAT DEAL,ONLY SOME,A GREAT DEAL,ONLY SOME,ONLY SOME,ONLY SOME,MOST IMPORTANT,LEAST IMPORTANT,4TH IMPORTANT,2ND IMPORTANT,3RD IMPORTANT,NEITHER BELONGS,HARD WORK,YES,YES,YES,NO,YES,NO,NO,,,,ALWAYS WRONG,NOT WRONG AT ALL,LEGAL,,NO,,,,,,,,,,Govt,1.0,Govt,3.0,Not at all interested,Moderately interested,Very interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Not at all interested,"MEXICAN, MEXICAN AMERICAN, CHICANO/A",Not a U.S. Citizen,MEXICO,Planning to apply for U.S. citizenship,NONE,,SINGLE PARENT,405,1988.0,SCORPIO,NOT HISPANIC,White,,,"YES, MONEY",20.0,74,62,WHITE,IN-PERSON,FEMALE,2,0.4118981299507,0.0,3.0,,4.0,3-5,6.0,,No,No,Yes,5.0,<HS,0-12 yrs,Yes,18-30,Low,White,Less close,Less close,More important,No,Moderate,No,Not strong,,Conserv,Mod,Conserv,No,No,No,,35.0,,,,9.0,,,,More egal,,,Ind,Yes,0.4118981299507,Svrl times/yr,High,,,18-40,,Low,Not illegal to all,Nonsouth,,24.0,0.0,0.0,0.0,<=30,Catholic,0.0,5.0
8,2012,9.0,KEEPING HOUSE,,,Married,2.0,2.0,28.0,9th grade,<HS,Female,Black,Conserv,Ind,,YES,UNDER $1 000,,MIDDLE ATLANTIC,24,Voted,Obama,About right,Too little,About right,Too little,About right,About right,Too little,Too little,About right,About right,Too little,About right,About right,Too little,Too little,Too little,Too much,About right,,ALLOWED,ALLOWED,NOT REMOVE,NOT ALLOWED,NOT ALLOWED,REMOVE,ALLOWED,FIRED,NOT REMOVE,NOT ALLOWED,NOT ALLOWED,REMOVE,ALLOWED,ALLOWED,REMOVE,Not allowed,Not allowed,Remove,,FAVOR,TOO HARSH,,NONE,LIBERAL,Never,NO RELIGION,NO,NEVER,INSPIRED WORD,STRONGLY SUPPORT PREF,AGREE STRONGLY,9.0,9.0,NOT TOO HAPPY,,,,,,,,,,,,,,,,,,,,BOTH EQUALLY,YES,NO,YES,NO,,NO,NO,EASIER,NOT WRONG AT ALL,SOMETIMES WRONG,ALWAYS WRONG,NOT WRONG AT ALL,,STRONGLY AGREE,NO,ONCE A WEEK,,AGREE,DISAGREE,DISAGREE,YES,NO,NO,YES,,,,,,,,,,,,,,,NOT HISPANIC,,,,NONE,3.0,"MARRIED COUPLE, NO CHILDREN",404,1984.0,LIBRA,NOT HISPANIC,White,,,"YES, MONEY",20.0,88,62,WHITE,IN-PERSON,FEMALE,2,0.4118981299507,,,5.0,,,,6.0,No,No,Yes,,<HS,0-12 yrs,Yes,18-30,Low,White,More close,More close,,No,Low,No,Not strong,Support,Liberal,Liberal,Liberal,No,No,No,,,Black,,,,NonTrad,8.0,Low,,Yes,Voted,Ind,No,0.4118981299507,Never/<1yr,,Low,Approve,18-40,,Low,,Nonsouth,Same/easier,28.0,0.0,0.0,,<=30,,0.0,
9,2012,10.0,WORKING FULL TIME,SOMEONE ELSE,PRIVATE,Never married,0.0,0.0,28.0,5 years,Bachelor deg,Female,White,Liberal,StrDem,SAME CITY,YES,$30000 TO 34999,$30000 TO 34999,MIDDLE ATLANTIC,24,Voted,Obama,About right,Too little,Too little,,About right,Too little,Too little,Too little,About right,About right,Too little,Too little,Too little,Too little,,Too little,About right,Too little,1.0,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,NOT FIRED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,"Yes, allowed",Not allowed,Not remove,OPPOSE,FAVOR,ABOUT RIGHT,LEGAL,NONE,LIBERAL,Once/yr,NO RELIGION,,ONCE A DAY,INSPIRED WORD,,,7.0,5.0,PRETTY HAPPY,ONLY SOME,HARDLY ANY,ONLY SOME,ONLY SOME,A GREAT DEAL,ONLY SOME,ONLY SOME,ONLY SOME,ONLY SOME,ONLY SOME,A GREAT DEAL,ONLY SOME,A GREAT DEAL,LEAST IMPORTANT,4TH IMPORTANT,2ND IMPORTANT,3RD IMPORTANT,MOST IMPORTANT,NEITHER BELONGS,BOTH EQUALLY,YES,YES,YES,YES,YES,YES,YES,,,,ALMST ALWAYS WRG,NOT WRONG AT ALL,ILLEGAL UNDER 18,,NO,,,,,,,,,,2,1.0,Govt,2.0,Very interested,Moderately interested,Moderately interested,Moderately interested,Very interested,Moderately interested,Moderately interested,Moderately interested,Very interested,Moderately interested,NOT HISPANIC,,NORWAY,,NONE,,SINGLE ADULT,517,1984.0,TAURUS,NOT HISPANIC,White,,,"YES, MONEY",20.0,76,62,WHITE,IN-PERSON,FEMALE,2,0.4118981299507,0.0,4.0,,7.0,6-7,1.0,,Yes,Yes,No,7.0,Coll+,13+ yrs,No,18-30,High,White,More close,Less close,Less important,No,Low,No,Not strong,,Mod,Liberal,Liberal,Yes,Yes,No,Mid,33.0,White,,,13.0,,14.0,High,More egal,No,Voted,Dem,No,0.4118981299507,Once/yr,High,MedHigh,,18-40,,Low,Not illegal to all,Nonsouth,,28.0,1.0,100.0,100.0,<=30,,1.0,7.0
