year,id,wrkstat,wrkslf,wrkgvt,marital,sibs,childs,age,educ,degree,sex,race,polviews,partyid,mobile16,born,income06,rincom06,region,size,vote08_coded,pres08,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,natroad,natsoc,natmass,natpark,natchld,natsci,natenrgy,eqwlth,spkath,colath,libath,spkrac,colrac,librac,spkcom,colcom,libcom,spkmil,colmil,libmil,spkhomo,colhomo,libhomo,spkmslm,colmslm,libmslm,cappun,gunlaw,courts,grass,relig,fund,attend,reliten,postlife,pray,bible,affrmact,wrkwayup,closeblk,closewht,happy,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,obey,popular,thnkself,workhard,helpoth,union,getahead,abdefect,abnomore,abhlth,abpoor,abrape,absingle,abany,divlaw,premarsx,teensex,xmarsex,homosex,pornlaw,spanking,owngun,news,tvhours,fechld,fepresch,fefam,racdif1,racdif2,racdif3,racdif4,helppoor,helpnot,helpsick,helpblk,intintl,intfarm,inteduc,intsci,intecon,inttech,intmed,intspace,intenvir,intmil,hispanic,uscitzn,ethnic,fucitzn,vetyears,wordsum,hhtype1,dateintv,cohort,zodiac,inthisp,intrace1,intrace2,intrace3,feeused,feelevel,lngthinv,intage,intethn,mode,intsex,intyrs,wtss,social_trust,con_govt,social_connect,abortion,abortion_3,authoritarianism,femrole,reborn_r,savesoul_r,god_r,science_quiz,educ_4,educ_2,kids,age_5,evangelical,intethn_2,closeblk2,closewht2,obey2,fund2,attend3,homosex2,reliten2,affrmact2,racial_liberal3,social_cons3,spend3,mslm_lib,mslm_spk,mslm_col,rincom06_5,egalit_scale,race_2,white_traits,black_traits,int_info_scale,femrole2,tolerance,militarist_tol,egalit_scale3,black,voted08,partyid_3,hispanic_2,wtssall,attend7,egalit_scale4,tolerance4,spanking2,age_3,tvhours5,attend2,pornlaw2,south,divlaw2,age.f,mslm_spk.high,mslm_spk.yes,grass.legal,age2,relig2,dem,science_quiz.f
2012,1,WORKING PART TIME,SOMEONE ELSE,PRIVATE,Never married,1,0,22,4 years,Bachelor deg,Male,White,Moderate,IndDem,"SAME ST, DIF CITY",YES,$150000 OR OVER,NA,NEW ENGLAND,14,Did not vote,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too much,Too little,Too little,About right,About right,About right,Too little,NA,NA,ALLOWED,NA,NOT ALLOWED,NOT ALLOWED,NA,NOT ALLOWED,NOT FIRED,NOT REMOVE,ALLOWED,NOT ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,Not allowed,NA,Remove,NA,OPPOSE,NA,NA,CATHOLIC,MODERATE,Once/yr,NOT VERY STRONG,YES,ONCE A WEEK,INSPIRED WORD,NA,AGREE SOMEWHAT,5,7,VERY HAPPY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOTH EQUALLY,YES,NA,YES,NA,YES,NA,YES,MORE DIFFICULT,NOT WRONG AT ALL,ALMST ALWAYS WRG,ALWAYS WRONG,NOT WRONG AT ALL,NA,AGREE,NO,ONCE A WEEK,1,STRONGLY AGREE,AGREE,DISAGREE,YES,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT HISPANIC,NA,GERMANY,NA,NONE,7,"MARRIED COUPLE, NO CHILDREN",721,1990,LIBRA,NOT HISPANIC,White,NA,NA,"YES, MONEY",75,69,60,WHITE,IN-PERSON,FEMALE,2,2.6219628630005,NA,NA,8,NA,NA,NA,6,No,No,No,NA,Coll+,13+ yrs,No,18-30,Low,White,Less close,More close,NA,No,Low,No,Not strong,NA,Mod,Liberal,Conserv,No,No,NA,NA,NA,White,0,0,NA,NonTrad,NA,Middle,NA,No,Did not vote,Ind,No,2.6219628630005,Once/yr,NA,NA,Approve,18-40,0-1,Low,NA,Nonsouth,More difficult,22,0,0,NA,<=30,Catholic,0,NA
2012,2,WORKING PART TIME,SOMEONE ELSE,PRIVATE,Never married,2,0,21,12th grade,HS,Male,White,SlghtCons,IndRep,SAME CITY,YES,$150000 OR OVER,NA,NEW ENGLAND,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,About right,Too much,About right,About right,About right,Too little,Too little,3,ALLOWED,NOT ALLOWED,NOT REMOVE,ALLOWED,NOT ALLOWED,NOT REMOVE,ALLOWED,FIRED,NOT REMOVE,ALLOWED,NOT ALLOWED,NOT REMOVE,NOT ALLOWED,NOT ALLOWED,NOT REMOVE,Not allowed,Not allowed,Remove,FAVOR,FAVOR,NOT HARSH ENOUGH,LEGAL,CATHOLIC,MODERATE,Never,NOT VERY STRONG,YES,NEVER,WORD OF GOD,NA,NA,6,7,VERY HAPPY,HARDLY ANY,A GREAT DEAL,A GREAT DEAL,ONLY SOME,ONLY SOME,ONLY SOME,HARDLY ANY,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,2ND IMPORTANT,LEAST IMPORTANT,3RD IMPORTANT,MOST IMPORTANT,4TH IMPORTANT,NEITHER BELONGS,HARD WORK,YES,YES,YES,YES,YES,YES,YES,NA,NA,NA,ALWAYS WRONG,ALWAYS WRONG,ILLEGAL UNDER 18,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree both,2,4,5,Not at all interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Very interested,Moderately interested,Moderately interested,Very interested,Very interested,NOT HISPANIC,NA,ITALY,NA,NONE,NA,MARRIED COUPLE W CHILDREN,624,1991,ARIES,NOT HISPANIC,White,NA,NA,"YES, MONEY",75,53,32,WHITE,IN-PERSON,FEMALE,0,3.4959504840006,0,4,NA,7,6-7,4,NA,No,No,No,7,HS,0-12 yrs,No,18-30,Low,White,More close,More close,More important,No,Low,Yes,Not strong,NA,Conserv,Mod,Conserv,No,No,No,NA,22,White,NA,NA,12,NA,10,Middle,Middle,No,NA,Ind,No,3.4959504840006,Never/<1yr,MedHigh,MedLow,NA,18-40,NA,Low,Not illegal to all,Nonsouth,NA,21,0,0,100,<=30,Catholic,0,7
2012,3,WORKING FULL TIME,SOMEONE ELSE,PRIVATE,Married,1,2,42,12th grade,HS,Male,Other,SlghtCons,IndDem,DIFFERENT STATE,YES,$110000 TO $129999,$110000 TO $129999,NEW ENGLAND,14,Voted,Obama,About right,About right,Too much,About right,About right,NA,Too little,About right,Too much,Too much,About right,Too little,About right,NA,Too little,Too little,Too little,About right,5,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,NOT ALLOWED,NOT REMOVE,ALLOWED,NOT FIRED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,"Yes, allowed","Yes, allowed",Not remove,NA,OPPOSE,NA,LEGAL,PROTESTANT,MODERATE,Never,STRONG,YES,SEVERAL TIMES A DAY,INSPIRED WORD,NA,NA,5,4,PRETTY HAPPY,ONLY SOME,ONLY SOME,ONLY SOME,ONLY SOME,ONLY SOME,ONLY SOME,ONLY SOME,A GREAT DEAL,ONLY SOME,ONLY SOME,A GREAT DEAL,HARDLY ANY,A GREAT DEAL,4TH IMPORTANT,MOST IMPORTANT,LEAST IMPORTANT,2ND IMPORTANT,3RD IMPORTANT,NEITHER BELONGS,LUCK OR HELP,YES,NO,YES,NO,YES,NO,YES,NA,NA,NA,ALMST ALWAYS WRG,NOT WRONG AT ALL,ILLEGAL UNDER 18,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree both,3,4,4,Moderately interested,Not at all interested,Moderately interested,Moderately interested,Very interested,Moderately interested,Moderately interested,Not at all interested,Moderately interested,Moderately interested,DOMINICAN,NA,WEST INDIES,NA,NONE,NA,MARRIED COUPLE W CHILDREN,627,1970,ARIES,NOT HISPANIC,White,NA,NA,"YES, MONEY",75,77,32,WHITE,IN-PERSON,FEMALE,0,1.7479752420003,2,2,NA,4,3-5,4,NA,No,Yes,No,10,HS,0-12 yrs,Yes,41-50,Mod,White,Less close,Less close,Less important,No,Low,No,Strong,NA,Conserv,Liberal,Mod,Yes,Yes,Yes,High,14,NA,NA,NA,9,NA,13,High,Less egal,NA,Voted,Ind,Yes,1.7479752420003,Never/<1yr,MedLow,MedHigh,NA,41-60,NA,Low,Not illegal to all,Nonsouth,NA,42,1,100,100,>=31,Protestant,0,10
2012,4,NA,SOMEONE ELSE,PRIVATE,Married,2,2,49,1 yr coll,HS,Female,White,SlghtCons,WkRep,"SAME ST, DIF CITY",YES,$130000 TO $149999,NA,NEW ENGLAND,14,Voted,McCain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too little,NA,About right,Too much,NA,Too much,Too little,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAVOR,NA,NA,LEGAL,PROTESTANT,LIBERAL,Never,NOT VERY STRONG,YES,NEVER,INSPIRED WORD,OPPOSE PREF,AGREE STRONGLY,NA,NA,VERY HAPPY,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,ONLY SOME,HARDLY ANY,HARDLY ANY,ONLY SOME,A GREAT DEAL,ONLY SOME,ONLY SOME,NA,HARDLY ANY,A GREAT DEAL,2ND IMPORTANT,LEAST IMPORTANT,3RD IMPORTANT,MOST IMPORTANT,4TH IMPORTANT,NEITHER BELONGS,NA,NA,NA,NA,NA,NA,NA,NA,STAY SAME,NOT WRONG AT ALL,NOT WRONG AT ALL,NA,NA,ILLEGAL UNDER 18,AGREE,NA,FEW TIMES A WEEK,4,AGREE,DISAGREE,AGREE,NA,NO,YES,YES,Help selves,5,Help selves,5,Moderately interested,Not at all interested,Not at all interested,Not at all interested,Very interested,Moderately interested,Very interested,Not at all interested,Moderately interested,Not at all interested,NOT HISPANIC,NA,NA,NA,NONE,9,"MARRIED COUPLE, NO CHILDREN",527,1963,CAPRICORN,NOT HISPANIC,White,NA,NA,"YES, MONEY",20,78,60,WHITE,IN-PERSON,FEMALE,2,1.235694389852,3,1,1,NA,NA,4,5,No,No,No,NA,Some Coll,13+ yrs,Yes,41-50,Low,White,NA,NA,More important,No,Low,NA,Not strong,Oppose,Conserv,Liberal,Conserv,NA,NA,NA,NA,1,White,0,0,7,Traditional,NA,NA,Less egal,No,Voted,Rep,No,1.235694389852,Never/<1yr,Low,NA,Approve,41-60,4,Low,Not illegal to all,Nonsouth,Same/easier,49,NA,NA,100,>=31,Protestant,0,NA
2012,5,RETIRED,SOMEONE ELSE,GOVERNMENT,Separated,0,3,70,4 years,Bachelor deg,Female,Black,Liberal,StrDem,SAME CITY,YES,$50000 TO 59999,NA,MIDDLE ATLANTIC,24,Voted,Obama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too little,Too little,About right,About right,About right,Too little,Too little,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OPPOSE,NA,NOT HARSH ENOUGH,NOT LEGAL,PROTESTANT,FUNDAMENTALIST,<Once/yr,SOMEWHAT STRONG,NA,SEVERAL TIMES A DAY,WORD OF GOD,OPPOSE PREF,AGREE STRONGLY,NA,NA,VERY HAPPY,HARDLY ANY,HARDLY ANY,ONLY SOME,A GREAT DEAL,A GREAT DEAL,HARDLY ANY,HARDLY ANY,ONLY SOME,HARDLY ANY,A GREAT DEAL,A GREAT DEAL,HARDLY ANY,A GREAT DEAL,4TH IMPORTANT,LEAST IMPORTANT,MOST IMPORTANT,2ND IMPORTANT,3RD IMPORTANT,NEITHER BELONGS,NA,NA,NA,NA,NA,NA,NA,NA,EASIER,NOT WRONG AT ALL,ALWAYS WRONG,NA,NA,ILLEGAL UNDER 18,STRONGLY AGREE,NA,FEW TIMES A WEEK,3,AGREE,DISAGREE,DISAGREE,NO,NO,NO,NO,Govt,3,2,4,Moderately interested,Not at all interested,Very interested,Very interested,Very interested,Moderately interested,Very interested,Moderately interested,Very interested,Very interested,NOT HISPANIC,NA,AFRICA,NA,NONE,6,SINGLE ADULT,620,1942,TAURUS,NOT HISPANIC,White,NA,NA,"YES, MONEY",75,149,62,WHITE,IN-PERSON,FEMALE,2,0.8739876210002,0,4,5,NA,NA,1,6,No,Yes,Yes,4,Coll+,13+ yrs,Yes,60-,Mod,White,NA,NA,Less important,Yes,Low,NA,Not strong,Oppose,Conserv,Liberal,Conserv,NA,NA,NA,NA,20,Black,1,0,15,NonTrad,NA,NA,Middle,Yes,Voted,Dem,No,0.8739876210002,Never/<1yr,MedLow,NA,Approve,61+,3,Low,Not illegal to all,Nonsouth,Same/easier,70,NA,NA,0,>=31,Protestant,1,4
2012,6,NA,SOMEONE ELSE,PRIVATE,Widowed,4,2,50,7 years,Bachelor deg,Female,White,Moderate,StrDem,"SAME ST, DIF CITY",YES,$25000 TO 29999,NA,MIDDLE ATLANTIC,24,Voted,Obama,About right,Too little,Too little,Too little,About right,Too little,About right,Too much,Too much,Too much,Too much,Too little,Too much,About right,Too little,Too little,Too little,Too little,NA,ALLOWED,NOT ALLOWED,NOT REMOVE,ALLOWED,NOT ALLOWED,NOT REMOVE,ALLOWED,NA,NOT REMOVE,ALLOWED,NOT ALLOWED,REMOVE,ALLOWED,ALLOWED,NOT REMOVE,Not allowed,Not allowed,Remove,OPPOSE,FAVOR,NOT HARSH ENOUGH,NA,PROTESTANT,NA,Never,NOT VERY STRONG,YES,SEVERAL TIMES A DAY,INSPIRED WORD,OPPOSE PREF,AGREE SOMEWHAT,5,5,VERY HAPPY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOTH EQUALLY,YES,YES,YES,YES,YES,YES,YES,EASIER,NOT WRONG AT ALL,ALWAYS WRONG,SOMETIMES WRONG,NOT WRONG AT ALL,NA,NA,NO,EVERYDAY,4,AGREE,NA,STRONGLY DISAGREE,NO,NO,NO,YES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT HISPANIC,NA,NA,NA,NONE,8,"COHAB COUPLE, NO CHILDREN",502,1962,TAURUS,NOT HISPANIC,White,NA,NA,"YES, MONEY",20,98,62,WHITE,IN-PERSON,FEMALE,2,0.8237962599014,NA,NA,6,7,6-7,NA,NA,No,Yes,No,NA,Coll+,13+ yrs,Yes,41-50,Mod,White,Less close,Less close,NA,NA,Low,No,Not strong,Oppose,Conserv,Liberal,Liberal,No,No,No,NA,NA,White,4,-1,NA,NA,NA,Low,NA,No,Voted,Dem,No,0.8237962599014,Never/<1yr,NA,NA,NA,41-60,4,Low,NA,Nonsouth,Same/easier,50,0,0,NA,>=31,Protestant,1,NA
2012,7,KEEPING HOUSE,SOMEONE ELSE,PRIVATE,Married,2,2,35,3 years,Junior Coll,Female,White,Moderate,Ind,SAME CITY,YES,$30000 TO 34999,NA,MIDDLE ATLANTIC,24,Did not vote,NA,Too little,Too little,Too little,Too little,Too little,About right,Too little,About right,Too little,About right,Too much,Too little,Too little,About right,About right,Too little,About right,About right,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAVOR,NA,NOT HARSH ENOUGH,LEGAL,CHRISTIAN,MODERATE,Sev times/yr,SOMEWHAT STRONG,YES,ONCE A WEEK,WORD OF GOD,OPPOSE PREF,AGREE SOMEWHAT,NA,NA,PRETTY HAPPY,ONLY SOME,HARDLY ANY,ONLY SOME,HARDLY ANY,HARDLY ANY,ONLY SOME,ONLY SOME,ONLY SOME,ONLY SOME,ONLY SOME,ONLY SOME,ONLY SOME,A GREAT DEAL,3RD IMPORTANT,LEAST IMPORTANT,MOST IMPORTANT,2ND IMPORTANT,4TH IMPORTANT,NEITHER BELONGS,NA,NA,NA,NA,NA,NA,NA,NA,MORE DIFFICULT,NOT WRONG AT ALL,ALWAYS WRONG,NA,NA,ILLEGAL UNDER 18,AGREE,NA,NEVER,3,AGREE,DISAGREE,DISAGREE,NO,NO,NO,YES,Govt,3,Govt,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT HISPANIC,NA,GERMANY,NA,NONE,6,MARRIED COUPLE W CHILDREN,421,1977,SCORPIO,NOT HISPANIC,White,NA,NA,"YES, MONEY",20,80,62,WHITE,IN-PERSON,FEMALE,2,0.8237962599014,0,2,10,NA,NA,2,6,Yes,Yes,Yes,NA,Some Coll,13+ yrs,Yes,31-40,High,White,NA,NA,Less important,No,Moderate,NA,Not strong,Oppose,Conserv,Liberal,Liberal,NA,NA,NA,NA,34,White,NA,NA,NA,NonTrad,NA,NA,More egal,No,Did not vote,Ind,No,0.8237962599014,Svrl times/yr,High,NA,Approve,18-40,3,Low,Not illegal to all,Nonsouth,More difficult,35,NA,NA,100,>=31,NA,0,NA
2012,8,KEEPING HOUSE,NA,NA,Separated,2,3,24,11th grade,<HS,Female,Other,Moderate,Ind,SAME CITY,NO,$5 000 TO 5 999,NA,MIDDLE ATLANTIC,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,About right,Too much,About right,About right,Too little,About right,Too little,1,NA,NOT ALLOWED,NOT REMOVE,NA,NOT ALLOWED,REMOVE,NOT ALLOWED,FIRED,REMOVE,NOT ALLOWED,NA,NA,ALLOWED,ALLOWED,NOT REMOVE,Not allowed,Not allowed,Remove,OPPOSE,FAVOR,TOO HARSH,NOT LEGAL,CATHOLIC,MODERATE,Sev times/yr,NOT VERY STRONG,NO,LT ONCE A WEEK,INSPIRED WORD,NA,NA,5,5,PRETTY HAPPY,ONLY SOME,ONLY SOME,ONLY SOME,A GREAT DEAL,HARDLY ANY,ONLY SOME,ONLY SOME,A GREAT DEAL,ONLY SOME,A GREAT DEAL,ONLY SOME,ONLY SOME,ONLY SOME,MOST IMPORTANT,LEAST IMPORTANT,4TH IMPORTANT,2ND IMPORTANT,3RD IMPORTANT,NEITHER BELONGS,HARD WORK,YES,YES,YES,NO,YES,NO,NO,NA,NA,NA,ALWAYS WRONG,NOT WRONG AT ALL,LEGAL,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,Govt,1,Govt,3,Not at all interested,Moderately interested,Very interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Not at all interested,"MEXICAN, MEXICAN AMERICAN, CHICANO/A",Not a U.S. Citizen,MEXICO,Planning to apply for U.S. citizenship,NONE,NA,SINGLE PARENT,405,1988,SCORPIO,NOT HISPANIC,White,NA,NA,"YES, MONEY",20,74,62,WHITE,IN-PERSON,FEMALE,2,0.4118981299507,0,3,NA,4,3-5,6,NA,No,No,Yes,5,<HS,0-12 yrs,Yes,18-30,Low,White,Less close,Less close,More important,No,Moderate,No,Not strong,NA,Conserv,Mod,Conserv,No,No,No,NA,35,NA,NA,NA,9,NA,NA,NA,More egal,NA,NA,Ind,Yes,0.4118981299507,Svrl times/yr,High,NA,NA,18-40,NA,Low,Not illegal to all,Nonsouth,NA,24,0,0,0,<=30,Catholic,0,5
2012,9,KEEPING HOUSE,NA,NA,Married,2,2,28,9th grade,<HS,Female,Black,Conserv,Ind,NA,YES,UNDER $1 000,NA,MIDDLE ATLANTIC,24,Voted,Obama,About right,Too little,About right,Too little,About right,About right,Too little,Too little,About right,About right,Too little,About right,About right,Too little,Too little,Too little,Too much,About right,NA,ALLOWED,ALLOWED,NOT REMOVE,NOT ALLOWED,NOT ALLOWED,REMOVE,ALLOWED,FIRED,NOT REMOVE,NOT ALLOWED,NOT ALLOWED,REMOVE,ALLOWED,ALLOWED,REMOVE,Not allowed,Not allowed,Remove,NA,FAVOR,TOO HARSH,NA,NONE,LIBERAL,Never,NO RELIGION,NO,NEVER,INSPIRED WORD,STRONGLY SUPPORT PREF,AGREE STRONGLY,9,9,NOT TOO HAPPY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOTH EQUALLY,YES,NO,YES,NO,NA,NO,NO,EASIER,NOT WRONG AT ALL,SOMETIMES WRONG,ALWAYS WRONG,NOT WRONG AT ALL,NA,STRONGLY AGREE,NO,ONCE A WEEK,NA,AGREE,DISAGREE,DISAGREE,YES,NO,NO,YES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT HISPANIC,NA,NA,NA,NONE,3,"MARRIED COUPLE, NO CHILDREN",404,1984,LIBRA,NOT HISPANIC,White,NA,NA,"YES, MONEY",20,88,62,WHITE,IN-PERSON,FEMALE,2,0.4118981299507,NA,NA,5,NA,NA,NA,6,No,No,Yes,NA,<HS,0-12 yrs,Yes,18-30,Low,White,More close,More close,NA,No,Low,No,Not strong,Support,Liberal,Liberal,Liberal,No,No,No,NA,NA,Black,NA,NA,NA,NonTrad,8,Low,NA,Yes,Voted,Ind,No,0.4118981299507,Never/<1yr,NA,Low,Approve,18-40,NA,Low,NA,Nonsouth,Same/easier,28,0,0,NA,<=30,NA,0,NA
2012,10,WORKING FULL TIME,SOMEONE ELSE,PRIVATE,Never married,0,0,28,5 years,Bachelor deg,Female,White,Liberal,StrDem,SAME CITY,YES,$30000 TO 34999,$30000 TO 34999,MIDDLE ATLANTIC,24,Voted,Obama,About right,Too little,Too little,NA,About right,Too little,Too little,Too little,About right,About right,Too little,Too little,Too little,Too little,NA,Too little,About right,Too little,1,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,NOT FIRED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,"Yes, allowed",Not allowed,Not remove,OPPOSE,FAVOR,ABOUT RIGHT,LEGAL,NONE,LIBERAL,Once/yr,NO RELIGION,NA,ONCE A DAY,INSPIRED WORD,NA,NA,7,5,PRETTY HAPPY,ONLY SOME,HARDLY ANY,ONLY SOME,ONLY SOME,A GREAT DEAL,ONLY SOME,ONLY SOME,ONLY SOME,ONLY SOME,ONLY SOME,A GREAT DEAL,ONLY SOME,A GREAT DEAL,LEAST IMPORTANT,4TH IMPORTANT,2ND IMPORTANT,3RD IMPORTANT,MOST IMPORTANT,NEITHER BELONGS,BOTH EQUALLY,YES,YES,YES,YES,YES,YES,YES,NA,NA,NA,ALMST ALWAYS WRG,NOT WRONG AT ALL,ILLEGAL UNDER 18,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,Govt,2,Very interested,Moderately interested,Moderately interested,Moderately interested,Very interested,Moderately interested,Moderately interested,Moderately interested,Very interested,Moderately interested,NOT HISPANIC,NA,NORWAY,NA,NONE,NA,SINGLE ADULT,517,1984,TAURUS,NOT HISPANIC,White,NA,NA,"YES, MONEY",20,76,62,WHITE,IN-PERSON,FEMALE,2,0.4118981299507,0,4,NA,7,6-7,1,NA,Yes,Yes,No,7,Coll+,13+ yrs,No,18-30,High,White,More close,Less close,Less important,No,Low,No,Not strong,NA,Mod,Liberal,Liberal,Yes,Yes,No,Mid,33,White,NA,NA,13,NA,14,High,More egal,No,Voted,Dem,No,0.4118981299507,Once/yr,High,MedHigh,NA,18-40,NA,Low,Not illegal to all,Nonsouth,NA,28,1,100,100,<=30,NA,1,7
